influencer_id,platform,date,URL,caption,reach,likes,comments
1,Instagram,2024-01-10,https://insta.com/aarav1,"Post-workout energy boost!",55000,4300,310
2,YouTube,2024-01-12,https://yt.com/neha1,"My daily vitamin routine",68000,5000,420
3,Instagram,2024-01-14,https://insta.com/vik1,"Morning lifestyle hacks",62000,4900,360
4,Twitter,2024-01-15,https://twitter.com/sana1,"Detox drinks thread 🧵",28000,1200,100
5,YouTube,2024-01-16,https://yt.com/sid1,"My top 3 protein powders!",75000,5200,470
6,Instagram,2024-01-18,https://insta.com/meera1,"Lazy day skincare 🍃",47000,3900,260
7,Instagram,2024-01-19,https://insta.com/guru1,"Treadmill vs sprinting 🏃",59000,4400,300
8,YouTube,2024-01-21,https://yt.com/ayushi1,"Meal prep for working women",64000,4300,290
9,Twitter,2024-01-22,https://twitter.com/raj1,"Leg day motivation 🏋️‍♂️",53000,2300,180
10,Instagram,2024-01-24,https://insta.com/priya1,"Solo yoga retreat 🌸",58000,4100,275
